accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
pretzels,0.33,550000,246000,2.5
print media,0.33,68000000,20400000,2.53
printing services,0.17,7480000,1830000,2.53
private investigation,0.18,135000,60500,2.54
private schools,0.31,823000,673000,2.56
private tutors,0.05,5000000,550000,2.57
proctologists,0.01,165000,9900,2.58
professional services,0.41,450000,246000,2.58
professional sports teams,0.52,8100,1900,2.58
property management,0.17,165000,27100,2.59
psychiatrists,0.09,1830000,1000000,2.59
psychics,0.15,226000000,55600000,2.59
pub food,0.71,9140000,4090000,2.59
public plazas,0.23,823000,301000,2.6
public relations,0.29,30400000,5000000,2.61
public services,0.8,13600000,1830000,2.61
public transportation,0.18,673000,301000,2.62
pubs,0.05,301000,165000,2.63
puerto rican restaurant,0.07,6600,1000,2.63
pulmonologist,0.95,673000,368000,2.64
race tracks,0.61,1500000,673000,2.67
radio stations,0.3,1830000,673000,2.69
rafting,0.08,90500,22200,2.7
ramen,0.39,74000,27100,2.72
real estate,0.04,2900,1900,2.72
real estate agents,0.25,165000,74000,2.74
real estate law,0.18,90500,27100,2.74
real estate services,0.08,18100,14800,2.77
record labels,0.12,3350000,1220000,2.78
recording studios,0.34,151000000,30400000,2.78
recreation centers,0.75,20400000,6120000,2.78
recycling center,0.09,450000,90500,2.79
reflexology,0.13,1220000,450000,2.8
registry office,0.08,135000,33100,2.8
rehabilitation center,0.06,2740000,1500000,2.8
rehearsal studios,0.3,4090000,2740000,2.82
religious organizations,0.28,3600,1300,2.84
religious schools,0.14,7480000,3350000,2.85
resorts,0.25,90500,33100,2.85
restaurants,0.19,368000,110000,2.85
retirement homes,0.08,550000,301000,2.86
rhinelandian,0.09,90500,8100,2.87
rice,0.74,1220000,673000,2.87
rifle ranges,0.06,550000,368000,2.87
rock climbing,0.19,5000000,2240000,2.89
rolfing,0.07,165000,135000,2.9
roman restaurant,0.54,90500,33100,2.9
